comparison,primary_endpoint,difference_full_minus_ablation,ci_low,ci_high,favorable_sign,favorable_training_replicates,total_training_replicates,paired_exact_sign_flip_p,ci_method,direction_ci_consistency_met,evidence,holm_adjusted_p,mechanism_support_rule_met
Full temporal graph vs No graph,History-dependent minFDE_6,-0.3836721872856735,-0.7087138440557708,-0.15635558967286728,negative,10,10,0.001953125,95% paired crossed bootstrap over training replicate and scene (10000 draws),True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full temporal graph vs Spatial-only graph,History-dependent minFDE_6,-0.7285422375973519,-1.253633697701952,-0.3138584440136221,negative,10,10,0.001953125,95% paired crossed bootstrap over training replicate and scene (10000 draws),True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full temporal graph vs No predicted-intent gating,Brier-minFDE_6,-6.389454484408502,-7.6836999179955825,-5.203129529174992,negative,10,10,0.001953125,95% paired crossed bootstrap over training replicate and scene (10000 draws),True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full top-1 vs independently trained Single mode K=1,MR_1 at 2 m,-0.020625,-0.04650312499999997,0.004128124999999955,negative,9,10,0.00390625,95% paired crossed bootstrap over training replicate and scene (10000 draws),False,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,False
