comparison,primary_endpoint,difference_full_minus_ablation,ci_low,ci_high,favorable_sign,favorable_training_replicates,total_training_replicates,paired_exact_sign_flip_p,ci_method,direction_ci_consistency_met,evidence,holm_adjusted_p,mechanism_support_rule_met
Full vs Equal weighting,Adverse controlled-injection NLL,-0.008043036991918065,-0.010715029062158767,-0.005579844448871242,negative,10,10,0.001953125,95% paired crossed bootstrap over training replicate and scene (10000 draws),True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full vs No alignment,Clean controlled SAS,2.6020567699263126,2.5998905091692497,2.6042230306833756,positive,10,10,0.001953125,95% t CI across paired training replicates; fixed test scenes,True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full vs No temporal consistency,Adverse held-out one-step feature prediction error,-0.05484648121694357,-0.05932775815555361,-0.050484757557415806,negative,10,10,0.001953125,95% paired crossed bootstrap over training replicate and scene (10000 draws),True,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.0078125,True
Full vs No modality dropout-distillation,Mean scene-level single/dual missing-modality macro-F1 drop,-0.0012720004597655521,-0.002742996479561567,0.00018251496290570875,negative,8,10,0.017578125,95% paired crossed bootstrap over training replicate and scene (10000 draws),False,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence.",0.017578125,False
