replicate_id,training_seed,endpoint,metric,baseline_b_estimate,structured_fusion_estimate,raw_difference_structured_minus_baseline,benefit_difference,direction
0,9103,macro_f1,Macro-F1,0.79151903584747685,0.81499130040175016,0.023472264554273314,0.023472264554273314,favorable
1,9127,macro_f1,Macro-F1,0.77565234238666791,0.79710450051208137,0.021452158125413456,0.021452158125413456,favorable
2,9133,macro_f1,Macro-F1,0.77731426937864645,0.80219020410481945,0.024875934726172999,0.024875934726172999,favorable
3,9151,macro_f1,Macro-F1,0.77502361202459169,0.80373155659950957,0.028707944574917876,0.028707944574917876,favorable
4,9173,macro_f1,Macro-F1,0.78783947524045195,0.80221035213050484,0.014370876890052897,0.014370876890052897,favorable
5,9181,macro_f1,Macro-F1,0.78659258546557276,0.80381632999446273,0.017223744528889973,0.017223744528889973,favorable
6,9199,macro_f1,Macro-F1,0.77592914579786121,0.80457613041484466,0.028646984616983451,0.028646984616983451,favorable
7,9209,macro_f1,Macro-F1,0.7595527490111913,0.80741458445597802,0.047861835444786727,0.047861835444786727,favorable
8,9221,macro_f1,Macro-F1,0.79661190018632499,0.80468439058006536,0.0080724903937403614,0.0080724903937403614,favorable
9,9239,macro_f1,Macro-F1,0.77768523227912223,0.80258056935136368,0.024895337072241452,0.024895337072241452,favorable
0,9103,nll,NLL,0.39088338555197766,0.34669779291116137,-0.044185592640816285,0.044185592640816285,favorable
1,9127,nll,NLL,0.41638036913661025,0.35755135227221613,-0.058829016864394124,0.058829016864394124,favorable
2,9133,nll,NLL,0.38998389081374984,0.36688405427364068,-0.023099836540109164,0.023099836540109164,favorable
3,9151,nll,NLL,0.41545661092839165,0.36749790358535256,-0.047958707343039086,0.047958707343039086,favorable
4,9173,nll,NLL,0.39372433966531051,0.36532435635329685,-0.028399983312013655,0.028399983312013655,favorable
5,9181,nll,NLL,0.39567961002356911,0.35509246781277309,-0.040587142210796012,0.040587142210796012,favorable
6,9199,nll,NLL,0.4030777379488179,0.36422130437739592,-0.038856433571421989,0.038856433571421989,favorable
7,9209,nll,NLL,0.40983476668144792,0.36896802310860966,-0.04086674357283826,0.04086674357283826,favorable
8,9221,nll,NLL,0.39303639206250723,0.35864890459988175,-0.034387487462625488,0.034387487462625488,favorable
9,9239,nll,NLL,0.40810041870328428,0.3822724675912007,-0.02582795111208358,0.02582795111208358,favorable
0,9103,brier,Brier,0.23875695184826146,0.20372990034531285,-0.035027051502948603,0.035027051502948603,favorable
1,9127,brier,Brier,0.25558724198920479,0.21103932497448225,-0.044547917014722549,0.044547917014722549,favorable
2,9133,brier,Brier,0.23912353049583573,0.2174857497421129,-0.021637780753722829,0.021637780753722829,favorable
3,9151,brier,Brier,0.25184510700322377,0.21483752631852338,-0.037007580684700392,0.037007580684700392,favorable
4,9173,brier,Brier,0.23963858315621758,0.21400140702949069,-0.025637176126726891,0.025637176126726891,favorable
5,9181,brier,Brier,0.23885136588004044,0.20883529259856537,-0.03001607328147507,0.03001607328147507,favorable
6,9199,brier,Brier,0.24299188827436052,0.21303207233098811,-0.029959815943372409,0.029959815943372409,favorable
7,9209,brier,Brier,0.24902050240593721,0.21705359970543023,-0.031966902700506977,0.031966902700506977,favorable
8,9221,brier,Brier,0.24076442436845219,0.21230467444174919,-0.028459749926702999,0.028459749926702999,favorable
9,9239,brier,Brier,0.2525720417534234,0.22386748241929283,-0.028704559334130575,0.028704559334130575,favorable
0,9103,ece,ECE,0.0096602462753260423,0.016865339006414171,0.007205092731088129,-0.007205092731088129,adverse
1,9127,ece,ECE,0.013930747201158524,0.016297500258995092,0.0023667530578365681,-0.0023667530578365681,adverse
2,9133,ece,ECE,0.013470396193828647,0.018974373866738857,0.0055039776729102104,-0.0055039776729102104,adverse
3,9151,ece,ECE,0.011135075922663542,0.011775600182592143,0.00064052425992860117,-0.00064052425992860117,adverse
4,9173,ece,ECE,0.0059273744464786822,0.014180494958897026,0.0082531205124183431,-0.0082531205124183431,adverse
5,9181,ece,ECE,0.014668237681846084,0.011808898930213101,-0.0028593387516329827,0.0028593387516329827,favorable
6,9199,ece,ECE,0.010459906704694807,0.0097595733925104275,-0.00070033331218437994,0.00070033331218437994,favorable
7,9209,ece,ECE,0.021077411126716402,0.016650613532081603,-0.0044267975946347994,0.0044267975946347994,favorable
8,9221,ece,ECE,0.016404915716672162,0.012492708218679618,-0.0039122074979925439,0.0039122074979925439,favorable
9,9239,ece,ECE,0.013582650990679153,0.015428161180049877,0.0018455101893707238,-0.0018455101893707238,adverse
0,9103,collision,Collision,0.013888888888888888,0.013888888888888888,0,-0,tie
1,9127,collision,Collision,0.013888888888888888,0.013888888888888888,0,-0,tie
2,9133,collision,Collision,0.019444444444444445,0.013888888888888888,-0.0055555555555555566,0.0055555555555555566,favorable
3,9151,collision,Collision,0.019444444444444445,0.013888888888888888,-0.0055555555555555566,0.0055555555555555566,favorable
4,9173,collision,Collision,0.013888888888888888,0.013888888888888888,0,-0,tie
5,9181,collision,Collision,0.019444444444444445,0.013888888888888888,-0.0055555555555555566,0.0055555555555555566,favorable
6,9199,collision,Collision,0.013888888888888888,0.013888888888888888,0,-0,tie
7,9209,collision,Collision,0.016666666666666666,0.013888888888888888,-0.0027777777777777783,0.0027777777777777783,favorable
8,9221,collision,Collision,0.013888888888888888,0.013888888888888888,0,-0,tie
9,9239,collision,Collision,0.016666666666666666,0.013888888888888888,-0.0027777777777777783,0.0027777777777777783,favorable
0,9103,near_miss,Near miss,0.21666666666666667,0.22777777777777777,0.011111111111111099,-0.011111111111111099,adverse
1,9127,near_miss,Near miss,0.2361111111111111,0.22500000000000001,-0.011111111111111099,0.011111111111111099,favorable
2,9133,near_miss,Near miss,0.21666666666666667,0.22222222222222221,0.0055555555555555358,-0.0055555555555555358,adverse
3,9151,near_miss,Near miss,0.21388888888888888,0.21944444444444444,0.0055555555555555636,-0.0055555555555555636,adverse
4,9173,near_miss,Near miss,0.21666666666666667,0.22222222222222221,0.0055555555555555358,-0.0055555555555555358,adverse
5,9181,near_miss,Near miss,0.23055555555555557,0.22500000000000001,-0.0055555555555555636,0.0055555555555555636,favorable
6,9199,near_miss,Near miss,0.20833333333333334,0.21944444444444444,0.011111111111111099,-0.011111111111111099,adverse
7,9209,near_miss,Near miss,0.22500000000000001,0.22222222222222221,-0.0027777777777777957,0.0027777777777777957,favorable
8,9221,near_miss,Near miss,0.22222222222222221,0.22222222222222221,0,-0,tie
9,9239,near_miss,Near miss,0.21944444444444444,0.21944444444444444,0,-0,tie
0,9103,critical_event,Critical event,0.23055555555555557,0.24166666666666667,0.011111111111111099,-0.011111111111111099,adverse
1,9127,critical_event,Critical event,0.25,0.2388888888888889,-0.011111111111111099,0.011111111111111099,favorable
2,9133,critical_event,Critical event,0.2361111111111111,0.2361111111111111,0,-0,tie
3,9151,critical_event,Critical event,0.23333333333333334,0.23333333333333334,0,-0,tie
4,9173,critical_event,Critical event,0.23055555555555557,0.2361111111111111,0.0055555555555555358,-0.0055555555555555358,adverse
5,9181,critical_event,Critical event,0.25,0.2388888888888889,-0.011111111111111099,0.011111111111111099,favorable
6,9199,critical_event,Critical event,0.22222222222222221,0.23333333333333334,0.011111111111111127,-0.011111111111111127,adverse
7,9209,critical_event,Critical event,0.24166666666666667,0.2361111111111111,-0.0055555555555555636,0.0055555555555555636,favorable
8,9221,critical_event,Critical event,0.2361111111111111,0.2361111111111111,0,-0,tie
9,9239,critical_event,Critical event,0.2361111111111111,0.23333333333333334,-0.0027777777777777679,0.0027777777777777679,favorable
0,9103,route_completion,Route completion,0.91666666666666663,0.92777777777777781,0.011111111111111183,0.011111111111111183,favorable
1,9127,route_completion,Route completion,0.92222222222222228,0.92777777777777781,0.0055555555555555358,0.0055555555555555358,favorable
2,9133,route_completion,Route completion,0.91666666666666663,0.93055555555555558,0.013888888888888951,0.013888888888888951,favorable
3,9151,route_completion,Route completion,0.92777777777777781,0.9194444444444444,-0.0083333333333334147,-0.0083333333333334147,adverse
4,9173,route_completion,Route completion,0.93055555555555558,0.92500000000000004,-0.0055555555555555358,-0.0055555555555555358,adverse
5,9181,route_completion,Route completion,0.93333333333333335,0.93055555555555558,-0.0027777777777777679,-0.0027777777777777679,adverse
6,9199,route_completion,Route completion,0.92222222222222228,0.92500000000000004,0.0027777777777777679,0.0027777777777777679,favorable
7,9209,route_completion,Route completion,0.93888888888888888,0.92500000000000004,-0.01388888888888884,-0.01388888888888884,adverse
8,9221,route_completion,Route completion,0.9194444444444444,0.92500000000000004,0.0055555555555556468,0.0055555555555556468,favorable
9,9239,route_completion,Route completion,0.92500000000000004,0.9194444444444444,-0.0055555555555556468,-0.0055555555555556468,adverse
0,9103,ttc_p5,TTC-P5,9.4026919161195828,9.2190811515299806,-0.18361076458960213,-0.18361076458960213,adverse
1,9127,ttc_p5,TTC-P5,9.3901411971623148,9.1641757974514455,-0.22596539971086926,-0.22596539971086926,adverse
2,9133,ttc_p5,TTC-P5,9.408424913933775,9.4509952247163991,0.042570310782624077,0.042570310782624077,favorable
3,9151,ttc_p5,TTC-P5,9.3917840965183217,9.4525637486902916,0.0607796521719699,0.0607796521719699,favorable
4,9173,ttc_p5,TTC-P5,9.3224129504638942,9.3850632735235102,0.062650323059616042,0.062650323059616042,favorable
5,9181,ttc_p5,TTC-P5,9.3504011049197633,9.3527999947438669,0.0023988898241036338,0.0023988898241036338,favorable
6,9199,ttc_p5,TTC-P5,9.4701299873101057,9.353607192549612,-0.11652279476049365,-0.11652279476049365,adverse
7,9209,ttc_p5,TTC-P5,9.2999126135042616,9.273593690665674,-0.026318922838587611,-0.026318922838587611,adverse
8,9221,ttc_p5,TTC-P5,9.3347243279830021,9.2140850454030101,-0.12063928257999201,-0.12063928257999201,adverse
9,9239,ttc_p5,TTC-P5,9.3771298540114554,9.3457003473446019,-0.031429506666853513,-0.031429506666853513,adverse
0,9103,jerk_p95,Jerk-P95,4.5796945731314862,4.5147374334537496,-0.064957139677736642,0.064957139677736642,favorable
1,9127,jerk_p95,Jerk-P95,4.6268211900577896,4.4688773143380738,-0.1579438757197158,0.1579438757197158,favorable
2,9133,jerk_p95,Jerk-P95,4.5176898030742993,4.6122303815003356,0.094540578426036248,-0.094540578426036248,adverse
3,9151,jerk_p95,Jerk-P95,4.8816176514824656,4.7213250271358271,-0.16029262434663849,0.16029262434663849,favorable
4,9173,jerk_p95,Jerk-P95,4.6046180426142493,4.6787235501240607,0.074105507509811375,-0.074105507509811375,adverse
5,9181,jerk_p95,Jerk-P95,4.6614879627886792,4.5846870445657713,-0.07680091822290791,0.07680091822290791,favorable
6,9199,jerk_p95,Jerk-P95,4.8435364988773513,4.628568531042184,-0.21496796783516725,0.21496796783516725,favorable
7,9209,jerk_p95,Jerk-P95,4.7028889818359438,4.5421108359880948,-0.160778145847849,0.160778145847849,favorable
8,9221,jerk_p95,Jerk-P95,4.6557056358823781,4.7066472319857597,0.05094159610338167,-0.05094159610338167,adverse
9,9239,jerk_p95,Jerk-P95,4.5430829869977201,4.5112546222898082,-0.031828364707911838,0.031828364707911838,favorable
